university_province,university,name
ZA-MP,Gert Sibande,Balfour
ZA-MP,Gert Sibande,Ermelo
ZA-MP,Gert Sibande,Evander
ZA-MP,Gert Sibande,Perdekop
ZA-MP,Gert Sibande,Sibanesetfu
ZA-MP,Gert Sibande,Standerton
ZA-MP,Nkangala,Central Office
ZA-MP,Nkangala,CN Mahlangu
ZA-MP,Nkangala,Middelburg
ZA-MP,Nkangala,Mpondozankomo
ZA-MP,Nkangala,Waterval Boven
ZA-MP,Nkangala,Witbank
ZA-NC,Northern Cape Rural,Central Office
ZA-NC,Northern Cape Rural,De Aar
ZA-NC,Northern Cape Rural,Kathu
ZA-NC,Northern Cape Rural,Kuruman
ZA-NC,Northern Cape Rural,Namaqualand
ZA-NC,Northern Cape Rural,Upington
ZA-NC,Northern Cape Urban,Central Office
ZA-NC,Northern Cape Urban,City Campus
ZA-NC,Northern Cape Urban,Moremogolo
ZA-NC,Northern Cape Urban,Phatsimang
ZA-NW,Orbit,Central Office
ZA-NW,Orbit,Brits
ZA-NW,Orbit,Mankwe
ZA-NW,Orbit,Rustenburg
ZA-NW,Taletso,Central Office
ZA-NW,Taletso,Lehurutshe
ZA-NW,Taletso,Lichtenburg
ZA-NW,Taletso,Mafikeng
ZA-NW,Vuselela,Central Office
ZA-NW,Vuselela,Jouberton
ZA-NW,Vuselela,Klerksdorp
ZA-NW,Vuselela,Potchefstroom
ZA-NW,Vuselela,Taung
ZA-NW,Vuselela,Matlosana
ZA-WC,Boland,Head Office
ZA-WC,Boland,Caledon
ZA-WC,Boland,Paarl
ZA-WC,Boland,Stellenbosch
ZA-WC,Boland,Strand
ZA-WC,Boland,Worcester
ZA-WC,College of Cape Town,Central Office
ZA-WC,College of Cape Town,Athlone
ZA-WC,College of Cape Town,City
ZA-WC,College of Cape Town,Crawford
ZA-WC,College of Cape Town,Guguletu
ZA-WC,College of Cape Town,Pinelands
ZA-WC,College of Cape Town,Thornton
ZA-WC,College of Cape Town,Wynberg
ZA-WC,College of Cape Town,Gardens
ZA-WC,False Bay,Central Office
ZA-WC,False Bay,Fish Hoek
ZA-WC,False Bay,Khayelitsha
ZA-WC,False Bay,Mitchell's Plain
ZA-WC,False Bay,Muizenberg
ZA-WC,False Bay,Westlake
ZA-WC,Northlink,Central Office
ZA-WC,Northlink,Belhar
ZA-WC,Northlink,Bellville
ZA-WC,Northlink,Goodwood
ZA-WC,Northlink,Parow
