university_province,university,name
ZA-WC,TSIBA Education NPC,Woodstock
ZA-GT,Turaco Hospitality (Pty) Ltd,Randburg
ZA-NL,Union Bible Institute NPC,Hilton
ZA-GT,Villioti Fashion Institute (Pty) Ltd,Hyde Park
,Other,Other
ZA-GT,Boston Media House,Pretoria
ZA-GT,Boston Media House,Sandton
ZA-NL,Boston Media House,Durban
ZA-EC,eta College,East London
ZA-EC,eta College,George
ZA-EC,eta College,Port Elizabeth
ZA-FS,eta College,Bloemfontein
ZA-GT,UNISA,Brooklyn
ZA-GT,UNISA,Daveyton
ZA-GT,UNISA,Little Theatre
ZA-GT,UNISA,Muckleneuk
ZA-GT,UNISA,Robert Sobukwe
ZA-GT,UNISA,SBL
ZA-GT,UNISA,Solomon Mahlangu
ZA-GT,eta College,Johannesburg
ZA-GT,eta College,Pretoria
ZA-MP,eta College,Nelspruit
ZA-NL,UNISA,Braam Fisher
ZA-NL,UNISA,Simiso Nkwanyana
ZA-NL,eta College,Durban
ZA-WC,eta College,Cape Town
ZA-WC,eta College,Stellenbosch
ZA-EC,Betshwana,Betshwana
ZA-EC,Blythswood,Blythswood
ZA-EC,Bofolo,Bofolo
ZA-EC,Bokamoso,Bokamoso
ZA-EC,Cecilia Makiwane,Cecilia Makiwane
ZA-EC,Eastern Cape CET College,Eastern Cape CET College
ZA-EC,Equleni,Equleni
ZA-EC,Frere Hospital,Frere Hospital
